#,Category,Subcategory,Parasha,Title,Date,Language,Link
1,התבוללות - עתיד העם היהודי,,,התבוללות - שואה שקטה,19-Feb-14,עברית,https://www.youtube.com/watch?v=GEghqrsu2hw
2,התבוללות - עתיד העם היהודי,,,"זהות יהודית , התבוללות , ואנטישמיות",23-Jan-15,עברית,https://www.youtube.com/watch?v=iXj7ftb_WhA
3,התבוללות - עתיד העם היהודי,,,"זהות יהודית , התבוללות , מי הוא יהודי ומה היא יהדות",18-Nov-15,עברית,https://www.youtube.com/watch?v=lxoGvjg_hpU
4,התבוללות - עתיד העם היהודי,,,זהות יהודית והתבוללות 1,7-Dec-16,אנגלית,https://www.youtube.com/watch?v=gOpm39_kPcE
5,התבוללות - עתיד העם היהודי,,,זהות יהודית והתבוללות 2,9-May-17,אנגלית,https://www.youtube.com/watch?v=RGZO3qP4odo
6,התבוללות - עתיד העם היהודי,,,זהות יהודית,4-Sep-17,אנגלית,https://www.youtube.com/watch?v=NxpyFebpS34
7,התבוללות - עתיד העם היהודי,,,זהות יהודית והתבוללות - חלק אי,12-Mar-18,עברית,https://www.youtube.com/watch?v=ORKn1zejiJ4
8,התבוללות - עתיד העם היהודי,,,זהות יהודית והתבוללות - חלק בי,12-Mar-18,עברית,https://www.youtube.com/watch?v=UZUjpt3uAW8
9,התבוללות - עתיד העם היהודי,,,התמודדות עם האתגר של חיים יהודיים בגולה,8-Oct-18,עברית,https://www.youtube.com/watch?v=eI2NRnFlCIk
10,התבוללות - עתיד העם היהודי,,,מהות האנטישמיות,25-Dec-19,אנגלית,https://www.youtube.com/watch?v=HKbdNpxZQP8
11,התבוללות - עתיד העם היהודי,,,זהות יהודית בזמננו,4-Feb-21,אנגלית,https://www.youtube.com/watch?v=WdSfWcBagME
12,אחרית הימים,,,העולם הזה והעולם הבא,13-Jun-14,עברית,https://www.youtube.com/watch?v=4_u3TJMidD4
13,אחרית הימים,,,העולם הזה והעולם הבא,17-Jun-14,אנגלית,https://www.youtube.com/watch?v=Jc49BwLZ2R4
