#,Date,Title (Hebrew),Title (English),YouTube Link
1,2-Jul-21,דבר תורה קצר לפרשת פינחס,A short Dvar Torah for Parshat Pinchas,https://www.youtube.com/watch?v=kR2wqRyXMjY
2,9-Jul-21,דבר תורה קצר לפרשת מטות מסעי,A short Dvar Torah for Parshat Matot Masai,https://www.youtube.com/watch?v=v1q7cTWmSUg
3,16-Jul-21,דבר תורה קצר לפרשת דברים,A short Dvar Torah for Parshat Devarim,https://www.youtube.com/watch?v=ZBg884ULKbI
4,23-Jul-21,דבר תורה קצר לפרשת ואתחנן,A short Dvar Torah for Parshat Vachanan,https://www.youtube.com/watch?v=nTXLK8eliv4
5,30-Jul-21,דבר תורה קצר לפרשת עקב,A short Dvar Torah for Parshat Eqab,https://www.youtube.com/watch?v=cOXnRJByLww
6,6-Aug-21,דבר תורה קצר לפרשת ראה,A short Dvar Torah for Parshat Vyerea,https://www.youtube.com/watch?v=hyEy_zyJahA
7,13-Aug-21,דבר תורה קצר לפרשת שופטים,A short Dvar Torah for Parshat Shoftim,https://www.youtube.com/watch?v=Ny2pvYtiR8I
8,20-Aug-21,דבר תורה קצר לפרשת כי תצא,A short Dvar Torah for Parshat Vyatze,https://www.youtube.com/watch?v=lLmuQUY7IqA
9,27-Aug-21,דבר תורה קצר לפרשת כי תבוא,A short Dvar Torah for Parshat Ki tavo,https://www.youtube.com/watch?v=EzhLbykb-mc
10,3-Sep-21,דבר תורה קצר לפרשת נצבים,A short Dvar Torah for Parshat Nitzivim,https://www.youtube.com/watch?v=IsOz3sXdTg4
11,10-Sep-21,דבר תורה קצר לפרשת וילך,A short Dvar Torah for Parshat Vyelech,https://www.youtube.com/watch?v=N0s74zftjFY
12,17-Sep-21,דבר תורה קצר לפרשת האזינו,A short Dvar Torah for Parshat Haazinu,https://www.youtube.com/watch?v=RqLijgnQeM0
13,27-Sep-21,דבר תורה קצר לפרשת וזאת הברכה,A short Dvar Torah for Parshat V'Zot HaBerachah,https://www.youtube.com/watch?v=BELd-L-IO0c
14,1-Oct-21,דבר תורה קצר לפרשת בראשית,A short Dvar Torah for Parshat Bereshit,https://www.youtube.com/watch?v=mIKcUh8sreg
15,8-Oct-21,דבר תורה קצר לפרשת נח,A short Dvar Torah for Parshat Noah,https://www.youtube.com/watch?v=HnKCkpAlMjw
16,14-Oct-21,דבר תורה קצר לפרשת לך לך,A short Dvar Torah for Parshat Lech Lecha,https://www.youtube.com/watch?v=sYeKHUi8jG0
17,21-Oct-21,דבר תורה קצר לפרשת וירא,A short Dvar Torah for Parashat vayera,https://www.youtube.com/watch?v=GKYWlzeND0o
18,29-Oct-21,דבר תורה קצר לפרשת חיי שרה,A short Dvar Torah for Parashat Chai Sarah,https://www.youtube.com/watch?v=xI9oHebM-nQ
19,5-Nov-21,דבר תורה קצר לפרשת תולדות,A short Dvar Torah for Parashat Toldot,https://www.youtube.com/watch?v=51z7BEL9lWo
20,12-Nov-21,דבר תורה קצר לפרשת ויצא,A short Dvar Torah for Parashat Vitza,https://www.youtube.com/watch?v=geigZkafFKM
21,18-Nov-21,דבר תורה קצר לפרשת וישלח,A short Dvar Torah for Parashat Wishelach,https://www.youtube.com/watch?v=FrjB9NBd5Dw
22,25-Nov-21,דבר תורה קצר לפרשת וישב,A short Dvar Torah for Parashat Vishv,https://www.youtube.com/watch?v=OF5eDzZo46E
23,3-Dec-21,דבר תורה קצר לפרשת מקץ,A short Dvar Torah for Parashat Meketz,https://www.youtube.com/watch?v=fXn9H3ayaSA
24,9-Dec-21,דבר תורה קצר לפרשת ויגש,A short Dvar Torah for Parashat vayigash,https://www.youtube.com/watch?v=v2oT4d_CW40
25,17-Dec-21,דבר תורה קצר לפרשת ויחי,A short Dvar Torah for Parashat Vayihyia,https://www.youtube.com/watch?v=qA_Lu3789Pw
26,23-Dec-21,דבר תורה קצר לפרשת שמות,A short Dvar Torah for Parashat Shemot,https://www.youtube.com/watch?v=B6NDvVgJ8uo
27,30-Dec-21,דבר תורה קצר לפרשת וארא,A short Dvar Torah for Parashat vaera,https://www.youtube.com/watch?v=YbAuUOPbCF4
28,6-Jan-22,דבר תורה קצר לפרשת בא,A short Dvar Torah for Parashat Bo,https://www.youtube.com/watch?v=kXR_nO9pbv8
29,14-Jan-22,דבר תורה קצר לפרשת בשלח,A short Dvar Torah for Parashat Beshalach,https://www.youtube.com/watch?v=1fZs7KPe92w
30,21-Jan-22,דבר תורה קצר לפרשת יתרו,A short Dvar Torah for Parashat Yitro,https://www.youtube.com/watch?v=kusIdY-BhgU
31,28-Jan-22,דבר תורה קצר לפרשת משפטים,A short Dvar Torah for Parashat Mishpatim,https://www.youtube.com/watch?v=I6KhqJ-HYdI
32,4-Feb-22,דבר תורה קצר לפרשת תרומה,A short Dvar Torah for Parashat Terumah,https://www.youtube.com/watch?v=rWm_giwHaBY
33,11-Feb-22,דבר תורה קצר לפרשת תצוה,A short Dvar Torah for Parashat Tetzaveh,https://www.youtube.com/watch?v=JoKT37xBwCI
34,18-Feb-22,דבר תורה קצר לפרשת כי תשא,A short Dvar Torah for Parashat Ki Tisa,https://www.youtube.com/watch?v=FQXqBWNJ7HA
35,24-Feb-22,דבר תורה קצר לפרשת ויקהל,A short Dvar Torah for Parashat Vayakhel,https://www.youtube.com/watch?v=e_GaQitp1Yo
36,4-Mar-22,דבר תורה קצר לפרשת פקודי,A short Dvar Torah for Parashat Pekudei,https://www.youtube.com/watch?v=EUdwhSDfwSU
37,10-Mar-22,דבר תורה קצר לפרשת ויקרא,A short Dvar Torah for Parashat Vayikra,https://www.youtube.com/watch?v=Rir5l0sekIk
38,18-Mar-22,דבר תורה קצר לפרשת צו,A short Dvar Torah for Parashat Tzav,https://www.youtube.com/watch?v=i4GlNJIY71Y
39,25-Mar-22,דבר תורה קצר לפרשת שמיני,A short Dvar Torah for Parashat Shemini,https://www.youtube.com/watch?v=7F39DOoG1t8
40,1-Apr-22,דבר תורה קצר לפרשת תזריע,A short Dvar Torah for Parashat Tazria,https://www.youtube.com/watch?v=pAY7XMD8Td0
41,8-Apr-22,דבר תורה קצר לפרשת מצורע,A short Dvar Torah for Parashat Metzora,https://www.youtube.com/watch?v=dMFfMKQws6w
42,28-Apr-22,דבר תורה קצר לפרשת אחרי מות,A short Dvar Torah for Parashat Acharei Mot,https://www.youtube.com/watch?v=j74m27A3f9M
43,28-Apr-22,דבר תורה קצר לפרשת קדושים,A short Dvar Torah for Parashat Kedoshim,https://www.youtube.com/watch?v=kojKdlY7tFI
44,6-May-22,דבר תורה קצר לפרשת אמור,A short Dvar Torah for Parashat Emor,https://www.youtube.com/watch?v=9YtHlQLWTX0
45,13-May-22,דבר תורה קצר לפרשת בהר,A short Dvar Torah for Parashat Behar,https://www.youtube.com/watch?v=qz_RoO308iw
46,20-May-22,דבר תורה קצר לפרשת בחוקותי,A short Dvar Torah for Parashat Bechukotai,https://www.youtube.com/watch?v=8IgHMOW3V60
47,26-May-22,דבר תורה קצר לפרשת במדבר,A short Dvar Torah for Parashat Bamidbar,https://www.youtube.com/watch?v=F5LzJQ3TECY
48,3-Jun-22,דבר תורה קצר לפרשת נשא,A short Dvar Torah for Parashat Naso,https://www.youtube.com/watch?v=8l9lCEFaX5g
49,10-Jun-22,דבר תורה קצר לפרשת בהעלותך,A short Torah verse for Parashat Behaalotecha,https://www.youtube.com/watch?v=N9ijeh6dvpU
50,16-Jun-22,דבר תורה קצר לפרשת שלח,A short Torah verse for Parashat Shelach,https://www.youtube.com/watch?v=YkqmnKRcrNE
51,24-Jun-22,דבר תורה קצר לפרשת קרח,A short Torah verse for Parashat Korach,https://www.youtube.com/watch?v=GEnJIFM2GaE
52,1-Jul-22,דבר תורה קצר לפרשת חקת,A short Torah verse for Parashat Chukat,https://www.youtube.com/watch?v=WEkkb9pxaeA
53,8-Jul-22,דבר תורה קצר לפרשת בלק,A short Torah verse for Parashat Balak,https://www.youtube.com/watch?v=HxSivwaTlak
54,15-Jul-22,דבר תורה קצר לפרשת פינחס,A short Torah verse for Parashat Pinchas,https://www.youtube.com/watch?v=r2JC_Y4IiiA
55,22-Jul-22,דבר תורה קצר לפרשת מטות,A short Torah verse for Parashat Matot,https://www.youtube.com/watch?v=xRtygqLgTf4
56,28-Jul-22,דבר תורה קצר לפרשת מסעי,A short Torah verse for Parashat Masei,https://www.youtube.com/watch?v=kuc3PMvWzL8
57,5-Aug-22,דבר תורה קצר לפרשת דברים,A short Torah verse for Parashat Devarim,https://www.youtube.com/watch?v=YMFQfDRmUSY
58,12-Aug-22,דבר תורה קצר לפרשת ואתחנן,A short Torah verse for Parashat Va'etchanan,https://www.youtube.com/watch?v=lldZYTNUsYg
59,19-Aug-22,דבר תורה קצר לפרשת עקב,A short Torah verse for Parashat Eikev,https://www.youtube.com/watch?v=veSHFGO-HWU
60,26-Aug-22,דבר תורה קצר לפרשת ראה,A short Torah verse for Parashat Re'eh,https://www.youtube.com/watch?v=4FqrNQZvL4I
61,1-Sep-22,דבר תורה קצר לפרשת שופטים,A short Torah verse for Parashat Shoftim,https://www.youtube.com/watch?v=nV9uXCo13GM
62,9-Sep-22,דבר תורה קצר לפרשת כי תצא,A short Torah verse for Parashat Ki Teitzei,https://www.youtube.com/watch?v=kmha7xTB_T0
63,15-Sep-22,דבר תורה קצר לפרשת כי תבוא,A short Torah verse for Parashat Ki Tavo,https://www.youtube.com/watch?v=l2jVzBBtOFY
64,23-Sep-22,דבר תורה קצר לפרשת נצבים,A short Torah verse for Parashat Nitzavim,https://www.youtube.com/watch?v=aAW4Nw2T3H0
65,29-Sep-22,דבר תורה קצר לפרשת וילך,A short Torah verse for Parashat Vayelech,https://www.youtube.com/watch?v=R5npQubrBXU
66,7-Oct-22,דבר תורה קצר לפרשת האזינו,A short Torah verse for Parashat Haazinu,https://www.youtube.com/watch?v=ulDNMo4HrRg
67,14-Oct-22,דבר תורה קצר לפרשת וזאת הברכה,A short Torah verse for Parashat V'Zot HaBerachah,https://www.youtube.com/watch?v=7ocCJVFCruM
68,20-Oct-22,דבר תורה קצר לפרשת בראשית,A short Torah verse for Parashat Bereshit,https://www.youtube.com/watch?v=2VjDDAn53pk
69,28-Oct-22,דבר תורה קצר לפרשת נח,A short Torah verse for Parashat Noach,https://www.youtube.com/watch?v=q7_MPT6UelE
70,3-Nov-22,דבר תורה קצר לפרשת לך לך,A short Torah verse for Parashat Lech Lecha,https://www.youtube.com/watch?v=VjPsU0pUVGA
